1161 Eucaliptos Ligeira - SoilR40 A 10 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 20 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 30 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 40 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 50 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 60 cm #1201[%],
2019-05-29 12:35:58.0,17.91,2019-05-29 12:35:58.0,22.3,2019-05-29 12:35:58.0,17.64,2019-05-29 12:35:58.0,19.39,2019-05-29 12:35:58.0,14.64,2019-05-29 12:35:58.0,12.9
2019-05-29 13:05:58.0,18.24,2019-05-29 13:05:58.0,22.32,2019-05-29 13:05:58.0,17.59,2019-05-29 13:05:58.0,19.35,2019-05-29 13:05:58.0,14.62,2019-05-29 13:05:58.0,12.87
2019-05-29 13:35:58.0,18.38,2019-05-29 13:35:58.0,22.38,2019-05-29 13:35:58.0,17.56,2019-05-29 13:35:58.0,19.31,2019-05-29 13:35:58.0,14.59,2019-05-29 13:35:58.0,12.83
2019-05-29 14:05:58.0,18.43,2019-05-29 14:05:58.0,22.44,2019-05-29 14:05:58.0,17.56,2019-05-29 14:05:58.0,19.27,2019-05-29 14:05:58.0,14.55,2019-05-29 14:05:58.0,12.8
2019-05-29 14:35:58.0,18.44,2019-05-29 14:35:58.0,22.45,2019-05-29 14:35:58.0,17.53,2019-05-29 14:35:58.0,19.22,2019-05-29 14:35:58.0,14.5,2019-05-29 14:35:58.0,12.78
2019-05-29 15:06:08.0,18.41,2019-05-29 15:06:08.0,22.29,2019-05-29 15:06:08.0,17.55,2019-05-29 15:06:08.0,19.2,2019-05-29 15:06:08.0,14.48,2019-05-29 15:06:08.0,12.75
2019-05-29 15:36:08.0,18.43,2019-05-29 15:36:08.0,22.44,2019-05-29 15:36:08.0,17.52,2019-05-29 15:36:08.0,19.16,2019-05-29 15:36:08.0,14.44,2019-05-29 15:36:08.0,12.73
2019-05-29 16:06:08.0,18.37,2019-05-29 16:06:08.0,22.26,2019-05-29 16:06:08.0,17.52,2019-05-29 16:06:08.0,19.12,2019-05-29 16:06:08.0,14.43,2019-05-29 16:06:08.0,12.7
2019-05-29 16:36:08.0,18.29,2019-05-29 16:36:08.0,22.38,2019-05-29 16:36:08.0,17.5,2019-05-29 16:36:08.0,19.08,2019-05-29 16:36:08.0,14.39,2019-05-29 16:36:08.0,12.69
2019-05-29 17:06:08.0,18.21,2019-05-29 17:06:08.0,22.16,2019-05-29 17:06:08.0,17.49,2019-05-29 17:06:08.0,19.05,2019-05-29 17:06:08.0,14.35,2019-05-29 17:06:08.0,12.68
2019-05-29 17:36:10.0,18.14,2019-05-29 17:36:10.0,22.14,2019-05-29 17:36:10.0,17.47,2019-05-29 17:36:10.0,19.02,2019-05-29 17:36:10.0,14.34,2019-05-29 17:36:10.0,12.67
2019-05-29 18:06:08.0,18.06,2019-05-29 18:06:08.0,22.09,2019-05-29 18:06:08.0,17.44,2019-05-29 18:06:08.0,18.99,2019-05-29 18:06:08.0,14.32,2019-05-29 18:06:08.0,12.67
2019-05-29 18:36:14.0,17.99,2019-05-29 18:36:14.0,22.05,2019-05-29 18:36:14.0,17.41,2019-05-29 18:36:14.0,18.97,2019-05-29 18:36:14.0,14.31,2019-05-29 18:36:14.0,12.66
2019-05-29 19:06:14.0,17.94,2019-05-29 19:06:14.0,22.02,2019-05-29 19:06:14.0,17.39,2019-05-29 19:06:14.0,18.93,2019-05-29 19:06:14.0,14.29,2019-05-29 19:06:14.0,12.65
2019-05-29 19:36:14.0,17.9,2019-05-29 19:36:14.0,21.98,2019-05-29 19:36:14.0,17.35,2019-05-29 19:36:14.0,18.91,2019-05-29 19:36:14.0,14.28,2019-05-29 19:36:14.0,12.65
2019-05-29 20:06:14.0,17.86,2019-05-29 20:06:14.0,21.95,2019-05-29 20:06:14.0,17.32,2019-05-29 20:06:14.0,18.87,2019-05-29 20:06:14.0,14.26,2019-05-29 20:06:14.0,12.66
2019-05-29 20:36:14.0,17.84,2019-05-29 20:36:14.0,21.91,2019-05-29 20:36:14.0,17.29,2019-05-29 20:36:14.0,18.85,2019-05-29 20:36:14.0,14.24,2019-05-29 20:36:14.0,12.64
2019-05-29 21:06:14.0,17.8,2019-05-29 21:06:14.0,21.86,2019-05-29 21:06:14.0,17.25,2019-05-29 21:06:14.0,18.81,2019-05-29 21:06:14.0,14.22,2019-05-29 21:06:14.0,12.64
2019-05-29 21:36:22.0,17.78,2019-05-29 21:36:22.0,21.84,2019-05-29 21:36:22.0,17.23,2019-05-29 21:36:22.0,18.78,2019-05-29 21:36:22.0,14.2,2019-05-29 21:36:22.0,12.62
2019-05-29 22:06:22.0,17.78,2019-05-29 22:06:22.0,21.78,2019-05-29 22:06:22.0,17.2,2019-05-29 22:06:22.0,18.75,2019-05-29 22:06:22.0,14.18,2019-05-29 22:06:22.0,12.63
2019-05-29 22:36:22.0,17.76,2019-05-29 22:36:22.0,21.77,2019-05-29 22:36:22.0,17.17,2019-05-29 22:36:22.0,18.71,2019-05-29 22:36:22.0,14.18,2019-05-29 22:36:22.0,12.6
2019-05-29 23:06:22.0,17.75,2019-05-29 23:06:22.0,21.74,2019-05-29 23:06:22.0,17.12,2019-05-29 23:06:22.0,18.68,2019-05-29 23:06:22.0,14.16,2019-05-29 23:06:22.0,12.59
2019-05-29 23:36:22.0,17.74,2019-05-29 23:36:22.0,21.73,2019-05-29 23:36:22.0,17.09,2019-05-29 23:36:22.0,18.65,2019-05-29 23:36:22.0,14.15,2019-05-29 23:36:22.0,12.59
2019-05-30 00:06:22.0,17.74,2019-05-30 00:06:22.0,21.7,2019-05-30 00:06:22.0,17.04,2019-05-30 00:06:22.0,18.62,2019-05-30 00:06:22.0,14.13,2019-05-30 00:06:22.0,12.58
2019-05-30 00:36:32.0,17.73,2019-05-30 00:36:32.0,21.67,2019-05-30 00:36:32.0,17.02,2019-05-30 00:36:32.0,18.59,2019-05-30 00:36:32.0,14.11,2019-05-30 00:36:32.0,12.57
2019-05-30 01:06:32.0,17.74,2019-05-30 01:06:32.0,21.66,2019-05-30 01:06:32.0,16.98,2019-05-30 01:06:32.0,18.56,2019-05-30 01:06:32.0,14.11,2019-05-30 01:06:32.0,12.56
2019-05-30 01:36:32.0,17.74,2019-05-30 01:36:32.0,21.63,2019-05-30 01:36:32.0,16.95,2019-05-30 01:36:32.0,18.52,2019-05-30 01:36:32.0,14.12,2019-05-30 01:36:32.0,12.54
2019-05-30 02:06:32.0,17.74,2019-05-30 02:06:32.0,21.57,2019-05-30 02:06:32.0,16.9,2019-05-30 02:06:32.0,18.5,2019-05-30 02:06:32.0,14.09,2019-05-30 02:06:32.0,12.53
2019-05-30 02:36:32.0,17.73,2019-05-30 02:36:32.0,21.59,2019-05-30 02:36:32.0,16.88,2019-05-30 02:36:32.0,18.47,2019-05-30 02:36:32.0,14.1,2019-05-30 02:36:32.0,12.52
2019-05-30 03:06:32.0,17.73,2019-05-30 03:06:32.0,21.56,2019-05-30 03:06:32.0,16.84,2019-05-30 03:06:32.0,18.43,2019-05-30 03:06:32.0,14.07,2019-05-30 03:06:32.0,12.5
2019-05-30 03:36:44.0,17.73,2019-05-30 03:36:44.0,21.55,2019-05-30 03:36:44.0,16.82,2019-05-30 03:36:44.0,18.4,2019-05-30 03:36:44.0,14.06,2019-05-30 03:36:44.0,12.48
2019-05-30 04:06:44.0,17.72,2019-05-30 04:06:44.0,21.52,2019-05-30 04:06:44.0,16.79,2019-05-30 04:06:44.0,18.37,2019-05-30 04:06:44.0,14.05,2019-05-30 04:06:44.0,12.46
2019-05-30 04:36:44.0,17.72,2019-05-30 04:36:44.0,21.49,2019-05-30 04:36:44.0,16.76,2019-05-30 04:36:44.0,18.35,2019-05-30 04:36:44.0,14.03,2019-05-30 04:36:44.0,12.45
2019-05-30 05:06:44.0,17.73,2019-05-30 05:06:44.0,21.45,2019-05-30 05:06:44.0,16.73,2019-05-30 05:06:44.0,18.32,2019-05-30 05:06:44.0,14.02,2019-05-30 05:06:44.0,12.43
2019-05-30 05:36:44.0,17.73,2019-05-30 05:36:44.0,21.43,2019-05-30 05:36:44.0,16.71,2019-05-30 05:36:44.0,18.29,2019-05-30 05:36:44.0,13.99,2019-05-30 05:36:44.0,12.42
2019-05-30 06:06:44.0,17.73,2019-05-30 06:06:44.0,21.43,2019-05-30 06:06:44.0,16.69,2019-05-30 06:06:44.0,18.26,2019-05-30 06:06:44.0,13.93,2019-05-30 06:06:44.0,12.4
